"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","TRADEGOODSERV","IMP","PC_GDP","A","1980",16.7166588998208,
"AUS","TRADEGOODSERV","IMP","PC_GDP","A","1981",16.8063642980621,
"AUS","TRADEGOODSERV","IMP","PC_GDP","A","1982",15.6026608943562,
"AUS","TRADEGOODSERV","IMP","PC_GDP","A","1983",14.9838078658206,
"AUS","TRADEGOODSERV","IMP","PC_GDP","A","1984",17.2672532400251,
"AUS","TRADEGOODSERV","IMP","PC_GDP","A","1985",18.0371230765692,
"AUS","TRADEGOODSERV","IMP","PC_GDP","A","1986",17.0537167282455,
"AUS","TRADEGOODSERV","IMP","PC_GDP","A","1987",16.6127491758326,
"AUS","TRADEGOODSERV","IMP","PC_GDP","A","1988",16.94743130227,
"AUS","TRADEGOODSERV","IMP","PC_GDP","A","1989",17.0377160817182,
"AUS","TRADEGOODSERV","IMP","PC_GDP","A","1990",16.1604950161314,
"AUS","TRADEGOODSERV","IMP","PC_GDP","A","1991",16.3859679793238,
"AUS","TRADEGOODSERV","IMP","PC_GDP","A","1992",17.8596913795626,
"AUS","TRADEGOODSERV","IMP","PC_GDP","A","1993",18.4865233240681,
"AUS","TRADEGOODSERV","IMP","PC_GDP","A","1994",19.8347357466136,
"AUS","TRADEGOODSERV","IMP","PC_GDP","A","1995",19.3444098251558,
"AUS","TRADEGOODSERV","IMP","PC_GDP","A","1996",18.8546030742255,
"AUS","TRADEGOODSERV","IMP","PC_GDP","A","1997",20.4358304198771,
"AUS","TRADEGOODSERV","IMP","PC_GDP","A","1998",20.749032810418,
"AUS","TRADEGOODSERV","IMP","PC_GDP","A","1999",21.5617071402682,
"AUS","TRADEGOODSERV","IMP","PC_GDP","A","2000",22.082173332428,
"AUS","TRADEGOODSERV","IMP","PC_GDP","A","2001",20.7337236156046,
"AUS","TRADEGOODSERV","IMP","PC_GDP","A","2002",21.1552596630846,
"AUS","TRADEGOODSERV","IMP","PC_GDP","A","2003",19.857923623816,
"AUS","TRADEGOODSERV","IMP","PC_GDP","A","2004",20.9480542227162,
"AUS","TRADEGOODSERV","IMP","PC_GDP","A","2005",21.7207058936594,
"AUS","TRADEGOODSERV","IMP","PC_GDP","A","2006",21.8393360556619,
"AUS","TRADEGOODSERV","IMP","PC_GDP","A","2007",22.7070617638254,
"AUS","TRADEGOODSERV","IMP","PC_GDP","A","2008",22.733121851861,
"AUS","TRADEGOODSERV","IMP","PC_GDP","A","2009",20.7210488820314,
"AUS","TRADEGOODSERV","IMP","PC_GDP","A","2010",20.4051316868337,
"AUS","TRADEGOODSERV","IMP","PC_GDP","A","2011",21.6673910261196,
"AUS","TRADEGOODSERV","IMP","PC_GDP","A","2012",21.2891913949774,
"AUS","TRADEGOODSERV","IMP","PC_GDP","A","2013",21.3753685262765,
"AUS","TRADEGOODSERV","IMP","PC_GDP","A","2014",21.5550374082505,
"AUS","TRADEGOODSERV","IMP","PC_GDP","A","2015",21.550576819355,
"AUS","TRADEGOODSERV","IMP","PC_GDP","A","2016",20.7201613801918,
"AUS","TRADEGOODSERV","IMP","PC_GDP","A","2017",21.5161440003039,
"AUS","TRADEGOODSERV","IMP","PC_GDP","A","2018",21.675186593329,
"AUS","TRADEGOODSERV","IMP","PC_GDP","A","2019",20.2251510630871,
"AUS","TRADEGOODSERV","IMP","PC_GDP","A","2020",17.7948768973942,
"AUT","TRADEGOODSERV","IMP","PC_GDP","A","1980",35.1319343048658,"E"
"AUT","TRADEGOODSERV","IMP","PC_GDP","A","1981",35.3958886770956,"E"
"AUT","TRADEGOODSERV","IMP","PC_GDP","A","1982",32.3756175092208,"E"
"AUT","TRADEGOODSERV","IMP","PC_GDP","A","1983",31.993986179109,"E"
"AUT","TRADEGOODSERV","IMP","PC_GDP","A","1984",33.8239884465719,"E"
"AUT","TRADEGOODSERV","IMP","PC_GDP","A","1985",35.1618401179462,"E"
"AUT","TRADEGOODSERV","IMP","PC_GDP","A","1986",32.016882528963,"E"
"AUT","TRADEGOODSERV","IMP","PC_GDP","A","1987",31.4475179050155,"E"
"AUT","TRADEGOODSERV","IMP","PC_GDP","A","1988",33.4916241738425,"E"
"AUT","TRADEGOODSERV","IMP","PC_GDP","A","1989",35.5231560476867,"E"
"AUT","TRADEGOODSERV","IMP","PC_GDP","A","1990",35.7909548337857,"E"
"AUT","TRADEGOODSERV","IMP","PC_GDP","A","1991",35.4579177869698,"E"
"AUT","TRADEGOODSERV","IMP","PC_GDP","A","1992",34.4748998338925,"E"
"AUT","TRADEGOODSERV","IMP","PC_GDP","A","1993",31.8011525125954,"E"
"AUT","TRADEGOODSERV","IMP","PC_GDP","A","1994",33.8285594546494,"E"
"AUT","TRADEGOODSERV","IMP","PC_GDP","A","1995",34.7234607571822,
"AUT","TRADEGOODSERV","IMP","PC_GDP","A","1996",35.8343950133252,
"AUT","TRADEGOODSERV","IMP","PC_GDP","A","1997",37.8396074770871,
"AUT","TRADEGOODSERV","IMP","PC_GDP","A","1998",38.5761282051164,
"AUT","TRADEGOODSERV","IMP","PC_GDP","A","1999",38.9031024586734,
"AUT","TRADEGOODSERV","IMP","PC_GDP","A","2000",42.0142216659345,
"AUT","TRADEGOODSERV","IMP","PC_GDP","A","2001",42.9191092459869,
"AUT","TRADEGOODSERV","IMP","PC_GDP","A","2002",41.6287818010806,
"AUT","TRADEGOODSERV","IMP","PC_GDP","A","2003",41.8169676971425,
"AUT","TRADEGOODSERV","IMP","PC_GDP","A","2004",43.9251307189084,
"AUT","TRADEGOODSERV","IMP","PC_GDP","A","2005",45.4140534786122,
"AUT","TRADEGOODSERV","IMP","PC_GDP","A","2006",47.2466423435202,
"AUT","TRADEGOODSERV","IMP","PC_GDP","A","2007",48.172384639555,
"AUT","TRADEGOODSERV","IMP","PC_GDP","A","2008",48.8248221152974,
"AUT","TRADEGOODSERV","IMP","PC_GDP","A","2009",41.8548144134358,
"AUT","TRADEGOODSERV","IMP","PC_GDP","A","2010",47.7576359096203,
"AUT","TRADEGOODSERV","IMP","PC_GDP","A","2011",51.154117778086,
"AUT","TRADEGOODSERV","IMP","PC_GDP","A","2012",51.1785012313079,
"AUT","TRADEGOODSERV","IMP","PC_GDP","A","2013",50.625120789651,
"AUT","TRADEGOODSERV","IMP","PC_GDP","A","2014",50.1169562048263,
"AUT","TRADEGOODSERV","IMP","PC_GDP","A","2015",49.3382548303838,
"AUT","TRADEGOODSERV","IMP","PC_GDP","A","2016",48.5756846289351,
"AUT","TRADEGOODSERV","IMP","PC_GDP","A","2017",50.8876917912507,
"AUT","TRADEGOODSERV","IMP","PC_GDP","A","2018",52.4614203877556,
"AUT","TRADEGOODSERV","IMP","PC_GDP","A","2019",52.128791145464,
"AUT","TRADEGOODSERV","IMP","PC_GDP","A","2020",48.6108163058355,
"BEL","TRADEGOODSERV","IMP","PC_GDP","A","1980",52.9381674238653,"E"
"BEL","TRADEGOODSERV","IMP","PC_GDP","A","1981",56.1578303566346,"E"
"BEL","TRADEGOODSERV","IMP","PC_GDP","A","1982",59.822037160011,"E"
"BEL","TRADEGOODSERV","IMP","PC_GDP","A","1983",59.9999364642422,"E"
"BEL","TRADEGOODSERV","IMP","PC_GDP","A","1984",63.8183835850715,"E"
"BEL","TRADEGOODSERV","IMP","PC_GDP","A","1985",61.4226582179306,"E"
"BEL","TRADEGOODSERV","IMP","PC_GDP","A","1986",55.0439747475742,"E"
"BEL","TRADEGOODSERV","IMP","PC_GDP","A","1987",54.0513372865066,"E"
"BEL","TRADEGOODSERV","IMP","PC_GDP","A","1988",57.0148635001021,"E"
"BEL","TRADEGOODSERV","IMP","PC_GDP","A","1989",61.3701835996737,"E"
"BEL","TRADEGOODSERV","IMP","PC_GDP","A","1990",59.8541600579142,"E"
"BEL","TRADEGOODSERV","IMP","PC_GDP","A","1991",58.3604829009414,"E"
"BEL","TRADEGOODSERV","IMP","PC_GDP","A","1992",56.2603571967148,"E"
"BEL","TRADEGOODSERV","IMP","PC_GDP","A","1993",52.9049959905429,"E"
"BEL","TRADEGOODSERV","IMP","PC_GDP","A","1994",54.8073406106081,"E"
"BEL","TRADEGOODSERV","IMP","PC_GDP","A","1995",56.2641961032662,
